London:7556900
Berlin:7340838
Paris:3992002
Wien:3114739
Chicago:2832854
Kiew:2819566
Toronto:2500000
Duisburg:2468773
Montreal:2465219
Barcelona:2248879
Vancouver:2182000
Laibach:2026806
Frankfurt:2023090
Hamburg:1927080
Budapest:1729962
Dortmund:1667525
Duesseldorf:1619076
SanJose:1477640
Sofia:1397000
Mannheim:1186759
CambridgeMa:1146380
Dresden:1115674
Koeln:1050398
Bruessel:943000
Danzig:887437
Turin:886770
Miami:832273
Stockholm:814105
Krakau:801100
Bonn:798894
Hannover:784784
Amsterdam:781251
DenHaag:741975
Riga:717371
Copenhagen:661691
Seattle:602074
Bremen:596379
Mainz:593310
Darmstadt:573289
Helsinki:570000
Rotterdam:561000
Leipzig:536773
Tuscon:524527
Dublin:477700
Strassburg:461328
Providence:461056
Zuerich:419974
Stettin:410623
Rostock:409007
Basel:395651
Bielefeld:371366
Karlsruhe:358576
Kaunas:355550
Kassel:326432
Sarajewo:305000
Aachen:294951
NewYork:292572
PaloAlto:292555
Muenster:272951
SanFrancisco:265112
Luebeck:250474
Freiburg:230881
Ruegen:221436
Erfurt:202450
Portland:149435
Goettingen:147302
FrankfurtOder:143466
Erlangen:113434
Groningen:106000
Jena:105571
Goerlitz:92444
Boulder:91481
Colmar:87640
BrandenburgHavel:74875
Davis:60964
Madison:53512
Corvallis:49807
Cambridge:24640
WarenMueritz:23386
Cottbus:11327
SantaCruz:9507
Prag:6151
Chemnitz:5326
Aarhus:3745
Austin:1368
FortCollins:213
Zagreb:0
SanktPetersburg:0
Reval:0
Oslo:0
CraterLake:0
