# City : Real Name : pref. language : local language : area/continent : coord : population : step?
#:::::::
Goerlitz:Görlitz::de::14.858 51.05 15.072 51.209:92711:
Goettingen:Göttingen::de::9.811 51.464 10.067 51.615:148685:
Groningen:::nl:eu:6.317 53.069 6.903 53.345:106000:
Halifax::en::other:-63.716 44.609 -63.458 44.754:412000:
Hamburg:::de::9.61 53.366 10.449 53.805:1800000:
Hannover:de!Hannover,en!Hanover::de::9.49 52.247 10.037 52.497:784784:
Helsinki:::fi:eu:24.588 60.113 25.242 60.353:570000:
Istanbul:::tr:other:28.8669 40.978 29.0904 41.0774:13000000:
Jena:::de::11.458 50.795 11.778 51.04:105571:
Jerusalem:he!ירושלים::he:other:35.1424 31.7261 35.2936 31.8675:1000000:
Johannesburg::en::other:27.865 -26.353 28.302 -26.07:3800000:
Karlsruhe:::de::8.055 48.805 8.781 49.232:338149:
Kassel:::de::9.369 51.233 9.594 51.376:322935:
Katowice:de!Kattowitz,en!Katowice,pl!Katowice,de!Kattowitz::pl:eu:18.8823 50.2148 19.1531 50.3625:990000:
Kaunas:::lt:eu:23.738 54.79 24.273 55.01:355550:
Kiel:::de::9.986 54.228 10.294 54.431:260000:
Kiew:de!Kiew,en!Kiev,uk!Київ::uk:eu:30.4236 50.3854 30.6385 50.4963:2819566:
Koeln:de!Köln,en!Cologne::de::6.752 50.802 7.232 51.063:995397:
Leeds::en::eu:-1.847 53.65 -1.276 53.879:1500000:
Leipzig:::de::12.19 51.213 12.58 51.439:536773:
Halle:Halle (Saale)::de::11.756 51.332 12.2 51.582:232323:
Lima:::es:other:-77.1807 -12.2212 -76.8816 -11.9285:6500000:
Lissabon:de!Lissabon,pt!Lisboa,en!Lisbon::pt:eu:-9.2956 38.6603 -9.0257 38.8153:2800000:
Liverpool::en::eu:-3.208 53.263 -2.442 53.575:816000:
Ljubljana:de!Laibach,en!Ljubljana::sl:eu:14.43 46.01 14.64 46.13:278638:
London::en::eu:-0.2417 51.4403 0.023 51.5621:7556900:
Luebeck:Lübeck::de::10.574 53.82 10.806 53.933:255222:
Madison::en::other:-89.578 42.971 -89.215 43.18:53512:
Magdeburg:::de::11.385 51.991 11.902 52.299:230000:
Mainz:Mainz/Wiesbaden::de::8.1339 49.9325 8.4123 50.1077:616490:
Manchester::en::eu:-2.523 53.319 -1.934 53.641:2500000:
Mannheim:Mannheim/Heidelberg::de::8.306 49.302 8.773 49.587:1149438:
Marseille:::fr:eu:5.277 43.142 5.72 43.438:1400000:0.01
Melbourne::en::other:144.792 -37.921 145.122 -37.686:3600000:
MexicoCity:en!Mexico City,de!Mexiko-Stadt,es!Ciudad de Méxicoeses::es:other:-99.2708 19.3095 -98.9714 19.5329:21000000:
Miami::en:es:other:-80.3244 25.6548 -80.0473 25.8567:832273:
Montevideo:::es:other:-56.318 -34.950 -55.944 -34.789:1700000:
Montreal:en!Montreal,fr!Montréal::fr:other:-73.787 45.37 -73.404 45.607:2465219:
Moscow:de!Moskau,ru!Москва::ru:eu:37.322 55.566 37.881 55.916:15000000:
Muenchen:de!München,en!Munich::de::11.36 48.015 11.814 48.265:2600000:
Augsburg:::de::10.7 48.249 11.08 48.468:263646:
Ulm:::de::9.691 48.221 10.306 48.52:122087:
Regensburg:::de::11.891 48.895 12.344 49.143:134218:
Paderborn:::de::8.525 51.607 9.039 51.84:145320:
Osnabrueck:de!Osnabrück,en!Osnabrück::de::7.819 52.148 8.263 52.369:163514:
Konstanz:::de::8.759 47.37 9.828 47.872:83644:
Muenster:Münster::de::7.462 51.873 7.792 52.042:272951:
NewDelhi:en!New Delhi,de!Neu-Delhi,hi!नई दिल्ली::hi:other:76.978 28.44 77.497 28.738:12000000:
NewYork:New York:en::other:-74.063 40.67 -73.894 40.827:19000000:
Nuernberg:de!Nürnberg,en!Nuremberg::de::10.844 49.296 11.321 49.535:2500000:
Oldenburg:::de::8.1004 53.0579 8.3253 53.2177:160000:
Oranienburg:::de::12.949 52.577 13.656 52.904:45000:
Orlando::en::other:-81.644 28.283 -81.072 28.822:2000000:
Oslo:::no:eu:10.397 59.751 11.104 60.038:1400000:
Ottawa:::fr:other:-75.932 45.295 -75.441 45.532:1200000:
Palma:es!Palma de Mallorca,de!Palma de Mallorca,en!Palma de Majorca::es:eu:2.266 39.252 3.502 39.985:404000:
PaloAlto:Palo Alto:en::other:-122.2585 37.3661 -122.0223 37.5176:198418:
Paris:::fr:eu:2.2168 48.7974 2.4681 48.9241:3956002:0.01
Perth::en::other:115.668 -32.225 116.125 -31.634:1800000:
Philadelphia::en::other:-75.335 39.83 -74.937 40.047:5800000:
PhnomPenh:Phnom Penh,km!Phnum Pénh::km:other:104.8238 11.4895 105.0164 11.6295:12000000:
Portland::en::other:-122.81 45.43 -122.53 45.59:2100000:
PortoAlegre:Porto Alegre::pt:other:-51.28 -30.141 -51.054 -29.94:1436000:
Potsdam:::de::12.75 52.2 13.316 52.485:155000:
Poznan:de!Posen,en!Poznan,pl!Poznań::pl:eu:16.8109 52.3493 17.0351 52.4645:680000:
Prag:de!Prag,en!Prague,cs!Praha::cs:eu:14.3016 50.0241 14.6009 50.1468:1223368:
Providence::en::other:-71.5273 41.7378 -71.3141 41.9006:461056:
Riga:::lv:eu:23.787 56.813 24.446 57.091:717371:
RiodeJaneiro:Rio de Janeiro::pt:other:-43.3592 -23.0103 -43.0369 -22.7833:14000000:
Rostock:::de::12.0204 54.0599 12.2271 54.1933:409007:
Rotterdam:::nl:eu:4.183 51.753 4.823 51.984:561000:
Maastricht:::nl:eu:5.434 50.724 5.877 51.034:118523:
Eindhoven:::nl:eu:5.258 51.329 5.745 51.584:775345:
Utrecht:::nl:eu:4.84 51.95 5.484 52.245:307081:
Arnhem:en!Arnhem,de!Arnheim::nl:eu:5.602 51.789 6.152 52.067:146000:
Tilburg:::nl:eu:4.89 51.456 5.267 51.645:205000:
Hertogenbosch:en!'s-Hertogenbosch,de!Herzogenbusch,fr!Bois-le-Du,es!Bolduque::nl:eu:5.113 51.583 5.527 51.838:136000:
